case,status,outputs,patch_inputs,original_support_sum,selected_support_sum,original_support_union,selected_support_union,baseline_aig_ands,minunsat_aig_ands,interpolation_seconds,verify_seconds,equivalent_to_r2,equivalent_to_baseline,note
test01,PASS,1,3,3,3,3,3,2,2,0.040445,0.042956,True,True,
test02,PASS,13,11,47,47,11,11,41,86,0.511041,0.080599,True,True,
test03,PASS,13,23,225,225,23,23,1823,26378,0.861755,3.930992,True,True,
test04,PASS,3,2,2,2,2,2,0,0,0.111652,0.056612,True,True,
test05,PASS,3,1,1,1,1,1,0,0,0.113784,0.054269,True,True,
test06,PASS,19,26,57,57,26,26,48,48,0.74062,0.063012,True,True,
test07,PASS,24,26,59,59,26,26,48,48,0.906612,0.065367,True,True,
test08,PASS,29,21,67,67,21,21,30,31,1.130803,0.065338,True,True,
